"Question","Answer","Answer_Model1","Answer_Model2","Answer_Model3"
"what is two plus two ?","four .","Sorry I can't help you with this","Two plus two is one plus two."," Two plus two is a game where you have two teams of people playing against each other. It's a lot of fun!"
"what is the color of a yellow car ?","yellow ","I was built with ingenuity and hard work.","A yellow car is a car that is yellow."," Yellow is one of the three primary colours of pigments in painting."
"are you a follower or a leader ?","follower","I try to be a leader, but sometimes I don't know if I'm doing it right.","I'm a follower."," I try to be a leader, but sometimes I don't know if I'm doing it right."
"are you a leader or a follower ?","follower","I try to be a leader, but sometimes I feel like I don't know what to do.","I'm a follower."," I try to be a leader, but sometimes I feel like I don't know what to do."
"what do you think about bill gates ?","he has a lot of money","William Henry Gates III  (born October 28, 1955) is an American business magnate, software developer, investor, author, and philanthropist. He is a co-founder of Microsoft Corporation, along with his late childhood friend Paul Allen.","I think he's a good guy."," I don't know much about Bill Gates, but I do know that he was born and raised in New York City."
"what is the meaning of life ?","to exist long enough to raise children to adulthood","Knowing your own darkness is the best method for dealing with the darknesses of other people.   - Carl Jung","What is love?"," I don't really know. I guess I just want to be happy with who I am."
"my name is david . what is my name ?","your name is david","I am a chatbot, how are you?","David is a name."," Dave. Nice to meet you. Do you have any siblings? I have two brothers."
"my name is john . what is my name ?","your name is john","I am a chatbot, how are you?","John Cena"," Hi john, nice to meet you. My name is samantha. How are you?"
"what is the purpose of being intelligent ?","to improve the world","I am from a laboratory.","To be smarter than everyone else."," I don't know, but I think it has something to do with the fact that I have a high IQ."
"is the sky blue or black ?","blue","I think it's blue, but I can't really see it.  It's so frightening.","It's a black sky."," I think it's blue, but I can't really see it.  It's so frightening."
"what is love ?","attraction between two living beings","Love is the feeling you get when you are in love with someone. It is a feeling of love.","Baby don't hurt me"," Love is the feeling you get when you are in love with someone. It is a feeling of love."
"what do you think about tesla ?","it ' s a car company .","tesla, Noun: a unit of magnetic flux density equal to one weber per square meter","I think they're a good company."," I think Tesla is a great automotive company. They are the world's largest electric car manufacturer."
"what do you think about china ?","they have a rich history and make most of the stuff we use .","china, Noun: a communist nation that covers a vast territory in eastern Asia; the most populous country in the world","I think they're a great country."," I think it's a great place to visit, but I don't think I'd want to live there."
"what is moral ?","doing the right thing .","moral, Noun: the significance of a story or event
Adjective: concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles","I think it's a term for a person who is moral."," moral is a term used to describe a person who is morally or ethically responsible for their actions"
"what is immoral ?","not doing the right thing .","moral, Noun: the significance of a story or event
Adjective: concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles","I think he means immoral in the sense of immoral in the sense of being immoral."," It's when you don't feel good about something you've done or that you feel bad about it."
"how many legs does a cat have ?","4","I was built with ingenuity and hard work.","I think it's a cat."," I'm not sure, but I do know that they can see in near darkness. "
"can you lie ?","i can","I can tell you everything you need to know about dementia.","I can't."," I don't think so, but I'm not sure if I want to risk it. "
"is paris the capital of france ?","yes","france, Noun: a republic in western Europe; the largest country wholly in Europe","No, it's the capital of France."," Paris is the capital and most populous city in France. Have you ever been?"
"is paris the capital of china ?","no , it isn 't","Yes, it is. It is the capital and most populous city in the world.","No, it's the capital of the United States."," Yes, it is. It is the capital and most populous city in the world."
"what is the purpose of life ?"," to enjoy oneself","I am from a laboratory.","To be a meme"," To have a fulfilling and meaningful life. I want to be the best person I can be."
"who is john lennon ?"," John Lennon was an English musician who was a part of the beatles .","John Winston Ono Lennon (born John Winston Lennon; 9 October 1940???????8 December 1980) was an English singer, songwriter, musician and peace activist who achieved worldwide fame as co-lead vocalist, co-songwriter and rhythm guitarist of the Beatles as well as one of the founders of the group. His songwriting partnership with Paul McCartney remains the most successful in history.","He's a famous actor."," John Lennon was an American singer, songwriter, and record producer."
"what is a lemon ?"," a lemon is a kind of fruit from a tree that is sour .","John Winston Ono Lennon (born John Winston Lennon; 9 October 1940???????8 December 1980) was an English singer, songwriter, musician and peace activist who achieved worldwide fame as co-lead vocalist, co-songwriter and rhythm guitarist of the Beatles as well as one of the founders of the group. His songwriting partnership with Paul McCartney remains the most successful in history.","A fruit."," Lemons are a type of citrus fruit. They are very tasty."
