Time,Count,Number,Session
27/08/21 13:21,0,57,50353
27/08/21 13:22,1,53,50353
27/08/21 13:22,2,25,50353
27/08/21 13:22,3,28,50353
27/08/21 13:22,0,0,389030
27/08/21 13:22,4,58,50353
27/08/21 13:22,0,8,266053
27/08/21 13:22,5,28,50353
27/08/21 13:22,1,11,389030
27/08/21 13:23,6,46,50353
27/08/21 13:23,1,44,266053
27/08/21 13:23,7,13,50353
27/08/21 13:23,8,23,50353
27/08/21 13:23,2,43,266053
27/08/21 13:23,3,4,266053
27/08/21 13:23,2,12,389030
27/08/21 13:23,4,20,266053
27/08/21 13:23,3,26,389030
27/08/21 13:24,5,24,266053
27/08/21 13:24,9,39,50353
27/08/21 13:24,4,36,389030
27/08/21 13:24,6,19,266053
27/08/21 13:24,7,11,266053
27/08/21 13:24,8,20,266053
27/08/21 13:24,10,30,50353
27/08/21 13:24,9,36,266053
27/08/21 13:24,10,17,266053
27/08/21 13:25,5,54,389030
27/08/21 13:25,11,1,266053
27/08/21 13:25,11,50,50353
27/08/21 13:25,12,51,266053
27/08/21 13:25,6,27,389030
27/08/21 13:25,12,6,50353
27/08/21 13:25,13,20,50353
27/08/21 13:25,14,20,50353
27/08/21 13:26,15,33,50353
27/08/21 13:26,16,17,50353
27/08/21 13:26,13,15,266053
27/08/21 13:26,14,15,266053
27/08/21 13:26,15,41,266053
27/08/21 13:26,16,42,266053
27/08/21 13:26,17,43,266053
27/08/21 13:26,17,46,50353
27/08/21 13:26,18,57,266053
27/08/21 13:26,18,37,50353
27/08/21 13:26,7,54,389030
27/08/21 13:27,19,46,50353
27/08/21 13:28,20,8,50353
27/08/21 13:28,21,2,50353
27/08/21 13:29,0,4,52133
27/08/21 13:29,0,7,90408
27/08/21 13:30,1,6,90408
27/08/21 13:30,1,56,52133
27/08/21 13:30,2,41,90408
27/08/21 13:30,8,16,389030
27/08/21 13:30,3,24,90408
27/08/21 13:30,2,46,52133
27/08/21 13:30,3,32,52133
27/08/21 13:30,9,49,389030
27/08/21 13:30,4,22,90408
27/08/21 13:30,10,23,389030
27/08/21 13:30,5,43,90408
27/08/21 13:30,4,2,52133
27/08/21 13:31,5,2,52133
27/08/21 13:31,6,35,90408
27/08/21 13:31,6,48,52133
27/08/21 13:31,7,3,90408
27/08/21 13:31,8,16,90408
27/08/21 13:31,9,52,90408
27/08/21 13:31,10,27,90408
27/08/21 13:31,7,10,52133
27/08/21 13:31,11,31,90408
27/08/21 13:31,8,2,52133
27/08/21 13:31,12,15,90408
27/08/21 13:31,13,30,90408
27/08/21 13:32,9,1,52133
27/08/21 13:32,10,14,52133
27/08/21 13:32,11,28,52133
27/08/21 13:32,12,15,52133
27/08/21 13:32,13,11,52133
27/08/21 13:33,14,37,52133
27/08/21 13:34,15,47,52133
27/08/21 13:34,16,23,52133
27/08/21 13:34,17,19,52133
27/08/21 13:34,18,0,52133
27/08/21 13:35,19,18,52133
27/08/21 13:35,20,27,52133
27/08/21 13:35,21,47,52133
27/08/21 13:36,22,33,52133
27/08/21 13:36,23,42,52133
27/08/21 13:37,24,19,52133
27/08/21 13:37,11,24,389030
27/08/21 13:37,12,17,389030
27/08/21 13:37,25,43,52133
27/08/21 13:37,26,40,52133
27/08/21 13:37,27,0,52133
27/08/21 13:37,28,28,52133
27/08/21 13:37,29,12,52133
27/08/21 13:38,30,15,52133
27/08/21 13:39,31,40,52133
27/08/21 13:39,32,21,52133
27/08/21 13:39,33,15,52133
27/08/21 13:40,34,28,52133
27/08/21 13:40,35,57,52133
27/08/21 13:40,36,49,52133
27/08/21 13:40,37,27,52133
27/08/21 13:41,38,42,52133
27/08/21 13:41,0,54,68047
27/08/21 13:41,39,54,52133
27/08/21 13:41,1,9,68047
27/08/21 13:41,40,56,52133
27/08/21 13:41,2,55,68047
27/08/21 13:41,41,27,52133
27/08/21 13:41,13,0,389030
27/08/21 13:41,3,18,68047
27/08/21 13:41,4,40,68047
27/08/21 13:41,5,15,68047
27/08/21 13:41,42,29,52133
27/08/21 13:41,14,29,389030
27/08/21 13:41,6,0,68047
27/08/21 13:41,7,0,68047
27/08/21 13:41,43,24,52133
27/08/21 13:41,8,1,68047
27/08/21 13:41,15,52,389030
27/08/21 13:41,9,29,68047
27/08/21 13:41,44,49,52133
